metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high,label,model,weight_path
mae_all,95,0.007054852610944133,0.007691915147006512,0.0030608605593442917,0.009706995915621519,0.006646135356277227,0.003912916849083355,0.006257750727485641,0.007851954494402626,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
mae_known,95,1.0140482000881316e-09,1.144420447296568e-09,5.73692343630583e-10,1.308780694930789e-09,7.35088351300206e-10,4.286274368174032e-10,9.267323305292945e-10,1.1013640696469688e-09,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
mae_missing,95,0.009659981303603241,0.010412173345685005,0.0042044532019644976,0.013135504443198442,0.008931051241233945,0.0053478816480661846,0.0085705621570693,0.010749400450137182,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
psnr_all,95,27.626733579133685,26.28262710571289,24.9940128326416,30.71686363220215,5.722850799560547,3.6840458753192644,26.876255094866277,28.377212063401092,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
psnr_known,95,119.99980709678249,119.99980926513672,119.99974822998047,119.99989318847656,0.00014495849609375,9.05643924484121e-05,119.99978864787326,119.99982554569172,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
psnr_missing,95,26.26682267439993,24.98505401611328,23.65773296356201,29.410377502441406,5.7526445388793945,3.699951338468855,25.513104081762524,27.020541267037334,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
rmse_all,95,0.04500033829949404,0.04851418361067772,0.02911779098212719,0.05627309903502464,0.027155308052897453,0.016364481014957168,0.041666723213372586,0.0483339533856155,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
rmse_known,95,1.0000226343196883e-06,1.0000229622164625e-06,1.0000124461839732e-06,1.0000300108004012e-06,1.7564616427989677e-11,1.0425716510791022e-11,1.0000205104927358e-06,1.0000247581466409e-06,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
rmse_missing,95,0.05265229436519899,0.056330978870391846,0.03384580463171005,0.06563182920217514,0.03178602457046509,0.019157283184098307,0.04874975641283496,0.056554832317563024,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
ssim_all,95,0.8659972987676922,0.8643202185630798,0.854154109954834,0.8811317682266235,0.02697765827178955,0.01644392435567657,0.862647500246308,0.8693470972890763,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
ssim_known,95,0.9090255787498073,0.9094186425209045,0.9070630073547363,0.9113344550132751,0.004271447658538818,0.0025452245106640284,0.9085070900291102,0.9095440674705043,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
ssim_missing,95,0.8501136309222171,0.8464438915252686,0.8333978056907654,0.872523158788681,0.03912535309791565,0.022995082460942246,0.8454292933176002,0.8547979685268341,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt
mae_all,95,0.0035075213055518503,0.003095487132668495,0.0014571559149771929,0.005382869392633438,0.003925713477656245,0.002007118895037863,0.0030986502987645228,0.003916392312339178,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt
mae_known,95,1.0140482000881316e-09,1.144420447296568e-09,5.73692343630583e-10,1.308780694930789e-09,7.35088351300206e-10,4.286274368174032e-10,9.267323305292945e-10,1.1013640696469688e-09,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt
mae_missing,95,0.004805324722914711,0.004196291323751211,0.0019590407609939575,0.007354572415351868,0.00539553165435791,0.0027523805473190608,0.0042446361617007175,0.005366013284128705,thesis_ablation_best_unet_usprobe_finetuned,baseline,runs\ultrasound_realism_compare\thesis_ablation_best_unet128_usprobe_20260531_114414\finetune\best_model.pt
