metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high,label,model,weight_path,eval_seed
mae_all,19,0.006892011580547612,0.007172363810241222,0.0035170677583664656,0.00943209370598197,0.005915025947615504,0.0038945673792797845,0.005014890190418273,0.00876913297067695,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
mae_known,19,9.988109140937763e-10,1.1129025478950894e-09,7.016958680772234e-10,1.2956060668756209e-09,5.939101987983975e-10,4.1473435888455533e-10,7.989153517713332e-10,1.1987064764162194e-09,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
mae_missing,19,0.009486837888528643,0.009603210724890232,0.004786445992067456,0.012938867323100567,0.00815242133103311,0.005400812006456311,0.0068837298269443315,0.012089945950112955,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
psnr_all,19,27.747469249524567,26.514284133911133,25.129185676574707,30.256882667541504,5.127696990966797,3.722452298902933,25.95330467268805,29.541633826361085,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
psnr_known,19,119.99981287906044,119.99980926513672,119.999755859375,119.99986267089844,0.0001068115234375,8.34739451908394e-05,119.99977264590673,119.99985311221415,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
psnr_missing,19,26.387711273996455,25.246742248535156,23.754347801208496,28.908782958984375,5.154435157775879,3.785813961063933,24.563007353563176,28.212415194429735,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
rmse_all,19,0.044343808567837664,0.04723738506436348,0.0309105534106493,0.055442918092012405,0.024532364681363106,0.01657386827198646,0.036355459767903664,0.052332157367771664,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
rmse_known,19,1.0000219450184408e-06,1.0000225074691116e-06,1.0000160841627803e-06,1.0000292149925372e-06,1.3130829756846651e-11,9.632754158382773e-12,1.0000173021795539e-06,1.0000265878573277e-06,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
rmse_missing,19,0.0519788143666167,0.0546591579914093,0.03606145456433296,0.06497335247695446,0.028911897912621498,0.019627315894637697,0.04251875092217239,0.06143887781106101,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
ssim_all,19,0.8665561926992316,0.8664045333862305,0.8533098697662354,0.8786943554878235,0.025384485721588135,0.01644783774872436,0.858628588667069,0.8744837967313941,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
ssim_known,19,0.908932532134809,0.90901118516922,0.906592845916748,0.9113405644893646,0.004747718572616577,0.0026441252587959727,0.907658104554515,0.9102069597151029,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
ssim_missing,19,0.8506846584771809,0.8496233820915222,0.8310232162475586,0.8689089715480804,0.03788575530052185,0.023307395902719328,0.839450853246342,0.8619184637080197,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1337
mae_all,19,0.007185848834189146,0.007029754109680653,0.0031314099906012416,0.010246443562209606,0.007115033571608365,0.004265951920536689,0.005129725825018458,0.009241971843359833,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
mae_known,19,1.0200543195203411e-09,1.2210519262367825e-09,6.485600667627267e-10,1.3108123475547018e-09,6.622522807919751e-10,4.521491428828274e-10,8.021254085584881e-10,1.2379832304821942e-09,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
mae_missing,19,0.009801373192060151,0.009424000047147274,0.004311336670070887,0.013708752579987049,0.009397415909916162,0.005778138025456047,0.007016399810829544,0.012586346573290759,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
psnr_all,19,27.60224763970626,26.675277709960938,24.769010543823242,30.858198165893555,6.0891876220703125,3.8414355509567955,25.750734971093046,29.453760308319474,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
psnr_known,19,119.9998076589484,119.9997787475586,119.9997444152832,119.99987411499023,0.00012969970703125,9.370254059859557e-05,119.9997624957695,119.9998528221273,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
psnr_missing,19,26.238812195627315,25.07676124572754,23.50462532043457,29.46980094909668,5.965175628662109,3.8132835401493477,24.400868361884687,28.076756029369943,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
rmse_all,19,0.04535503185501224,0.046369895339012146,0.028769911266863346,0.05774981901049614,0.028979907743632793,0.017684922618817638,0.03683117200162237,0.053878891708402106,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
rmse_known,19,1.0000226630405738e-06,1.0000259180742432e-06,1.0000147199207277e-06,1.000030465547752e-06,1.574562702444382e-11,1.0851335080876087e-11,1.000017432864483e-06,1.0000278932166647e-06,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
rmse_missing,19,0.05300100765338069,0.05573936551809311,0.03375815972685814,0.06680073589086533,0.03304257616400719,0.02053263874655612,0.043104592561934385,0.062897422744827,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
ssim_all,19,0.8656057715415955,0.8651015758514404,0.8515390753746033,0.8811008036136627,0.029561728239059448,0.01780466930472619,0.8570241956330894,0.8741873474501015,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
ssim_known,19,0.9089814706852561,0.9089839458465576,0.9064554870128632,0.9115362167358398,0.005080729722976685,0.002923693843156362,0.9075722953605778,0.9103906460099345,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
ssim_missing,19,0.8497609998050489,0.8464438915252686,0.8315424025058746,0.87180295586586,0.04026055335998535,0.024395061944391297,0.8380029563229985,0.8615190432870994,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1338
mae_all,19,0.0073158709442635115,0.008679306134581566,0.003338764072395861,0.009612237568944693,0.0062734734965488315,0.004109877660406374,0.0053349733205099335,0.009296768568017089,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
mae_known,19,1.0213101461034163e-09,1.1775996844320957e-09,6.851455236489556e-10,1.2760227319219553e-09,5.908772082729996e-10,4.430940291186032e-10,8.077456602706063e-10,1.2348746319362264e-09,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
mae_missing,19,0.010016916252329554,0.012125245295464993,0.004506348865106702,0.013060889206826687,0.008554540341719985,0.00559489256121966,0.007320264357688791,0.012713568146970316,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
psnr_all,19,27.467615127563477,25.521533966064453,25.023460388183594,30.151984214782715,5.128523826599121,3.844266540996025,25.614737965428812,29.32049228969814,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
psnr_known,19,119.999805651213,119.99978637695312,119.99974822998047,119.99987411499023,0.000125885009765625,9.526967174482463e-05,119.99975973270107,119.99985156972492,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
psnr_missing,19,26.109540337010433,24.060266494750977,23.71018409729004,28.847721099853516,5.137537002563477,3.868873044832084,24.24480321966413,27.974277454356734,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
rmse_all,19,0.04590397450680796,0.052956994622945786,0.031083816662430763,0.056082481518387794,0.02499866485595703,0.01687134178997853,0.03777224806072236,0.054035700952893555,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
rmse_known,19,1.0000228604966604e-06,1.0000248948927037e-06,1.0000152883549163e-06,1.0000294423662126e-06,1.4154011296341196e-11,1.092793400139929e-11,1.0000175934010715e-06,1.0000281275922493e-06,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
rmse_missing,19,0.05371453181693429,0.06265946477651596,0.036115970462560654,0.06523701176047325,0.029121041297912598,0.019754547177801098,0.04419314485697186,0.06323591877689672,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
ssim_all,19,0.8648942583485654,0.8607339262962341,0.8533441424369812,0.8806359767913818,0.027291834354400635,0.017466674138850544,0.8564755908953093,0.8733129258018214,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
ssim_known,19,0.9088909375040155,0.9094476103782654,0.9070630073547363,0.9113180339336395,0.004255026578903198,0.0026602233133614173,0.9076087509097872,0.9101731240982438,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
ssim_missing,19,0.8486829588287755,0.8410314321517944,0.8329562246799469,0.87187260389328,0.03891637921333313,0.024353356201263186,0.8369450168714627,0.8604209007860883,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1339
mae_all,19,0.007079506115252643,0.007967494428157806,0.002979630371555686,0.00969531387090683,0.006715683499351144,0.004133710303828636,0.0050871215250675,0.009071890705437785,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
mae_known,19,1.0102593425563212e-09,1.1618987993955443e-09,6.946602459922957e-10,1.283879669244925e-09,5.892194232526293e-10,4.3479902707541956e-10,8.006929197302695e-10,1.2198257653823729e-09,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
mae_missing,19,0.009696466400974282,0.010702907107770443,0.004026222275570035,0.01344202971085906,0.009415807435289025,0.005660527912340008,0.0069681792797375835,0.012424753522210981,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
psnr_all,19,27.67581548188862,26.12827491760254,25.029412269592285,30.71686363220215,5.687451362609863,3.962748463914708,25.765831860885747,29.585799102891492,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
psnr_known,19,119.999805651213,119.99980926513672,119.999755859375,119.9998664855957,0.000110626220703125,9.441727811891626e-05,119.99976014354165,119.99985115888434,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
psnr_missing,19,26.316882284064043,24.846477508544922,23.671751976013184,29.410377502441406,5.738625526428223,3.9816143149339305,24.39780561393854,28.235958954189545,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
rmse_all,19,0.045063121195294355,0.049383990466594696,0.02911779098212719,0.05604527331888676,0.026927482336759567,0.017270897851384744,0.036738814892095045,0.053387427498493664,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
rmse_known,19,1.0000227827109292e-06,1.0000226211559493e-06,1.0000156862588483e-06,1.0000287602451863e-06,1.3073986337985843e-11,1.0832069315918637e-11,1.0000175618206396e-06,1.0000280036012187e-06,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
rmse_missing,19,0.05272138755964605,0.05723690986633301,0.03384580463171005,0.06552717834711075,0.031681373715400696,0.020210994676884506,0.042979999947349565,0.06246277517194254,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
ssim_all,19,0.8661302171255413,0.8642565608024597,0.8545154929161072,0.8834906220436096,0.02897512912750244,0.017051794269972987,0.8579115153681793,0.8743489188829032,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
ssim_known,19,0.909050210526115,0.9092795252799988,0.9076539874076843,0.9107282161712646,0.0030742287635803223,0.0022693225496524826,0.9079564320690471,0.9101439889831829,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
ssim_missing,19,0.850245685953843,0.8492602705955505,0.8348940908908844,0.874436229467392,0.03954213857650757,0.024026445711477572,0.8386653098089228,0.8618260620987631,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1340
mae_all,19,0.006801025580467754,0.007847261615097523,0.003192968899384141,0.008980372454971075,0.005787403555586934,0.0035250096610560723,0.005102025308862602,0.008500025852072907,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
mae_known,19,1.0198062781668027e-09,1.1223690865591607e-09,6.882578118538873e-10,1.3637360685159194e-09,6.754782566620321e-10,4.440939967194906e-10,8.057598233781983e-10,1.2338527329554071e-09,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
mae_missing,19,0.009298312784123578,0.010412173345685005,0.004329510265961289,0.012505931779742241,0.008176421513780951,0.004809153642762096,0.006980374925537454,0.011616250642709703,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
psnr_all,19,27.640520396985504,26.29607391357422,25.19810199737549,30.783283233642578,5.58518123626709,3.425855476205849,25.98931091269435,29.29172988127666,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
psnr_known,19,119.99980364347759,119.99980926513672,119.99973678588867,119.99987030029297,0.000133514404296875,9.50819057875456e-05,119.99975781546595,119.99984947148923,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
psnr_missing,19,26.281167281301396,24.988361358642578,23.79754638671875,29.46077537536621,5.663228988647461,3.4278511176490047,24.62899592862406,27.93333863397873,thesis_ablation_best_unet,baseline,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,1341
