slice_count,metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high
4,known_fraction_repeat_mean,19,0.07141896298057154,0.07132476568222046,0.0710483193397522,0.07204711437225342,0.0009987950325012207,0.0011854587476999173,0.07084759015383284,0.07199033580731025
4,known_fraction_repeat_std,19,0.0031502331253088806,0.003063839809579474,0.0024894475354944948,0.003387962540068615,0.0008985150045741201,0.0010478889479313067,0.002645166819585922,0.003655299431031839
4,mae_all_repeat_mean,19,0.008009690746180959,0.008475453709252179,0.003969396435422823,0.011142702482175082,0.007173306046752259,0.003892380994466817,0.006133623159799198,0.00988575833256272
4,mae_all_repeat_std,19,0.0012192968755517098,0.0011954318599052439,0.000555445076698517,0.0018185322662306953,0.0012630871895321783,0.0007086867976238723,0.00087772077295311,0.0015608729781503097
4,rmse_all_repeat_mean,19,0.04287043906209108,0.044762698002159595,0.029613377177156508,0.053541831905022264,0.023928454727865756,0.013733743286405531,0.036250986686812245,0.04948989143736991
4,rmse_all_repeat_std,19,0.005171030037340016,0.004921812490836969,0.003327738815588575,0.007301995722818184,0.003974256907229609,0.00218683173378149,0.0041170108808261585,0.006225049193853873
4,psnr_all_repeat_mean,19,27.87703097494025,27.03601098060608,25.487309455871582,30.619705319404602,5.13239586353302,2.992728538814979,26.434581992044752,29.31947995783575
4,psnr_all_repeat_std,19,1.0205551365906451,1.0173643822467804,0.8978970696896067,1.1569120525945362,0.2590149829049295,0.1962168046782994,0.925981664033963,1.1151286091473274
4,ssim_all_repeat_mean,19,0.8449718230649045,0.8407493233680725,0.8294493667781353,0.8664000667631626,0.03695069998502731,0.022280022121520093,0.8342331961459386,0.8557104499838704
4,ssim_all_repeat_std,19,0.00589374143651559,0.005626450596813212,0.004686965043786925,0.007349127172270051,0.002662162128483126,0.0018767054876236275,0.0049891983459187375,0.006798284527112443
4,mae_known_repeat_mean,19,4.703600374587085e-12,4.023680409584278e-12,3.4474740838214175e-12,5.636160656431353e-12,2.1886865726099356e-12,2.166364232976267e-12,3.6594462376819215e-12,5.747754511492248e-12
4,mae_known_repeat_std,19,4.676310302297341e-12,3.392627548346231e-12,2.7430076982808775e-12,5.257150309808242e-12,2.5141426115273644e-12,3.407037267217437e-12,3.0341709044050004e-12,6.318449700189682e-12
4,rmse_known_repeat_mean,19,1.0000000401078069e-06,1.0000000258969521e-06,1.0000000116860974e-06,1.0000000543186616e-06,4.263256414560601e-14,3.4485527982423596e-14,1.0000000234863144e-06,1.0000000567292993e-06
4,rmse_known_repeat_std,19,7.734762295499223e-14,5.262677972112621e-14,4.0194366942304644e-14,9.504528448652301e-14,5.4850917544218364e-14,5.4363299689294707e-14,5.1145351239858105e-14,1.0354989467012635e-13
4,psnr_known_repeat_mean,19,119.99999994980662,120.0,120.0,120.0,0.0,2.1878789317184628e-07,119.99999984435424,120.00000005525901
4,psnr_known_repeat_std,19,1.419683318261694e-07,0.0,0.0,0.0,0.0,6.188256116133215e-07,-1.56296065523672e-07,4.4023272917601076e-07
4,ssim_known_repeat_mean,19,0.8676290935591647,0.8658855333924294,0.8572414629161358,0.8806079179048538,0.023366454988718033,0.014444929305277255,0.8606668604952047,0.8745913266231248
4,ssim_known_repeat_std,19,0.011166156688029427,0.011290237242570304,0.0070525955088467035,0.012120740488940102,0.005068144980093398,0.005986247016017416,0.008280877984123105,0.014051435391935749
4,mae_missing_repeat_mean,19,0.008628185809357092,0.009110270242672414,0.004273105965694413,0.011999838694464415,0.007726732728770003,0.004198210138586889,0.006604713293943418,0.010651658324770765
4,mae_missing_repeat_std,19,0.001309683734733714,0.0013106984081913834,0.0005964681194420181,0.0019638182055004925,0.0013673500860584744,0.000764169580369372,0.0009413657868586468,0.0016780016826087813
4,rmse_missing_repeat_mean,19,0.04449252704599578,0.04641361255198717,0.03072320099454373,0.05557546275667846,0.02485226176213473,0.014267341112167873,0.037615888751224597,0.051369165340766965
4,rmse_missing_repeat_std,19,0.005357414096435637,0.00506712036953542,0.0034531465390135433,0.007576654078580381,0.004123507539566838,0.0022717273912235486,0.004262476542833205,0.006452351650038069
4,psnr_missing_repeat_mean,19,27.55520164339166,26.719382524490356,25.16290581226349,30.2998286485672,5.136922836303711,2.9958990410792596,26.111224527320342,28.999178759462975
