slice_count,metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high
4,known_fraction,152,0.07141896298057154,0.07187151908874512,0.06942963600158691,0.07368791103363037,0.004258275032043457,0.0033162352106155045,0.07088750825048086,0.07195041771066223
4,mae_all,152,0.008009690746180959,0.008034019265323877,0.004181850585155189,0.01103547215461731,0.0068536215694621205,0.004022043267590179,0.007365124307603934,0.008654257184757983
4,rmse_all,152,0.04287043906209108,0.043025098741054535,0.03001295542344451,0.05489731766283512,0.02488436223939061,0.014401890788684563,0.04056241430033868,0.045178463823843475
4,psnr_all,152,27.87703097494025,27.325562477111816,25.20904302597046,30.453923225402832,5.244880199432373,3.080702661742208,27.38332232715047,28.37073962273003
4,ssim_all,152,0.8449718230649045,0.843290776014328,0.8285650908946991,0.8657288551330566,0.037163764238357544,0.02251492507562684,0.8413636159658494,0.8485800301639596
4,mae_known,152,4.703600374587085e-12,2.9248043873983387e-12,1.4845819614871941e-12,5.563251031723282e-12,4.078669070236088e-12,5.781240984117882e-12,3.777107628545326e-12,5.630093120628844e-12
4,rmse_known,152,1.0000000401078069e-06,9.999999974752427e-07,9.999999974752427e-07,1.0000000258969521e-06,2.842170943040401e-14,9.417898044466172e-14,1.000000025014829e-06,1.0000000552007848e-06
4,psnr_known,152,119.99999994980662,120.0,120.0,120.0,0.0,6.188256116133215e-07,119.99999985063458,120.00000004897866
4,ssim_known,152,0.8676290935591647,0.8673165738582611,0.8581216782331467,0.8801709413528442,0.02204926311969757,0.01840395457772647,0.864679704239192,0.8705784828791374
4,mae_missing,152,0.008628185809357092,0.008603946771472692,0.004497077548876405,0.011869358364492655,0.00737228081561625,0.004336587681832115,0.007933210969036618,0.009323160649677566
4,rmse_missing,152,0.04449252704599578,0.044524822384119034,0.031199959572404623,0.05698659457266331,0.025786635000258684,0.014956850952235031,0.04209556522604357,0.046889488865947994
4,psnr_missing,152,27.55520164339166,27.027956008911133,24.88458776473999,30.11707305908203,5.232485294342041,3.0831384163260287,27.061102645336383,28.049300641446933
4,ssim_missing,152,0.8432112638103334,0.8419055044651031,0.8260359615087509,0.8645840138196945,0.038548052310943604,0.023162591606758296,0.8394992626738743,0.8469232649467925
8,known_fraction,152,0.13625571602269224,0.1363239288330078,0.13330078125,0.13920164108276367,0.005900859832763672,0.004763655812675948,0.13549229990369485,0.13701913214168962
8,mae_all,152,0.0045623809978439425,0.004811553517356515,0.0022809008951298892,0.006023086258210242,0.0037421853630803525,0.0023624250109688803,0.004183782416372726,0.004940979579315159
8,rmse_all,152,0.029724084165584492,0.031152707524597645,0.02098726248368621,0.03666345775127411,0.0156761952675879,0.010023411833599652,0.028117747674867147,0.03133042065630184
8,psnr_all,152,31.083909473921125,30.13008689880371,28.715335845947266,33.56088924407959,4.845553398132324,3.194213953382418,30.57200968194839,31.59580926589386
8,ssim_all,152,0.8691706096655444,0.8675538599491119,0.8581970036029816,0.884491354227066,0.026294350624084473,0.016275931932413095,0.8665622539661579,0.8717789653649308
8,mae_known,152,1.919780316968798e-11,1.8200961571235297e-11,1.3469252189285408e-11,2.4548442705690787e-11,1.107919051640538e-11,9.438778508865964e-12,1.768515911212609e-11,2.071044722724987e-11
8,rmse_known,152,1.000000268229422e-06,1.0000002248489182e-06,1.0000002248489182e-06,1.0000003385357559e-06,1.1368683772161603e-13,1.502849260515338e-13,1.000000244144992e-06,1.000000292313852e-06
8,psnr_known,152,119.99999969883969,120.0,120.0,120.0,0.0,1.4904995840712786e-06,119.99999945997453,119.99999993770484
8,ssim_known,152,0.8895041640651854,0.889902800321579,0.8838562667369843,0.8964037001132965,0.012547433376312256,0.007769839232497457,0.8882589816369497,0.8907493464934211
8,mae_missing,152,0.005284646476196174,0.005562903126701713,0.0026387994294054806,0.0069945709547027946,0.004355771525297314,0.0027420706704388543,0.0048452064680258354,0.005724086484366513
8,rmse_missing,152,0.03198744404423786,0.03349525295197964,0.022550799883902073,0.03939446434378624,0.016843664459884167,0.010803182083734906,0.030256142778256143,0.03371874531021958
8,psnr_missing,152,30.447695719568355,29.50037670135498,28.09130334854126,32.93676280975342,4.845459461212158,3.1971040062819767,29.935332772184097,30.960058666952612
8,ssim_missing,152,0.8659475461432808,0.8642134368419647,0.8540107905864716,0.8825742155313492,0.028563424944877625,0.017800397002150622,0.8630948820276589,0.8688002102589027
