noise_std,metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high
0.005,input_delta_rms_known,19,0.0037092026077995173,0.0037304253783077,0.003635312896221876,0.003756652702577412,0.00012133980635553598,7.355164604861501e-05,0.0036737518491833936,0.003744653366415641
0.005,output_delta_rmse_all,19,0.003051812356141837,0.0030773752368986607,0.002981287078000605,0.003094916115514934,0.00011362903751432896,6.652116323853026e-05,0.003019750181771542,0.003083874530512132
0.005,output_delta_rmse_missing,19,0.0003557458457132605,0.0004002615751232952,0.0002591399825178087,0.000425830134190619,0.00016669015167281032,0.00010575809429685002,0.0003047720759333049,0.0004067196154932161
0.005,stability_ratio_all,19,0.8227383392886731,0.8228579645313158,0.8211163075060115,0.8245738527077937,0.0034575452017822084,0.002188553387099555,0.8216834903218222,0.8237931882555241
0.005,stability_ratio_missing,19,0.095414044230336,0.10665442246212584,0.07158716077197165,0.1134811717273169,0.04189401095534526,0.026963084547503065,0.08241825347389424,0.10840983498677777
0.01,input_delta_rms_known,19,0.007411749690378967,0.007449316792190075,0.007265894906595349,0.007512055104598403,0.00024616019800305367,0.00014197011289196216,0.007343322286327259,0.007480177094430675
0.01,output_delta_rmse_all,19,0.006098321957611724,0.006145067512989044,0.005963581148535013,0.006192393600940704,0.00022881245240569115,0.00012879060576297813,0.006036246872658357,0.00616039704256509
0.01,output_delta_rmse_missing,19,0.0007168403336484181,0.0008168641361407936,0.0005194648401811719,0.0008598541026003659,0.000340389262419194,0.0002053926806990387,0.000617844230418213,0.0008158364368786231
0.01,stability_ratio_all,19,0.8227627447035063,0.8228159733604206,0.8211262954061207,0.8246276002885963,0.0035013048824755755,0.0021631384735659553,0.8217201453328689,0.8238053440741437
0.01,stability_ratio_missing,19,0.0962518833740088,0.1092702953632756,0.07164221661364997,0.114656952151621,0.04301473553797103,0.026190493390128366,0.08362846963562778,0.10887529711238983
0.02,input_delta_rms_known,19,0.014823893134139086,0.01490058470517397,0.0145301828160882,0.015017648693174124,0.00048746587708592415,0.00029067472743351185,0.014683792400142705,0.014963993868135468
0.02,output_delta_rmse_all,19,0.012196783662626618,0.012293364852666855,0.01191786490380764,0.012375564780086279,0.00045769987627863884,0.00026364369116445513,0.012069711471068086,0.01232385585418515
0.02,output_delta_rmse_missing,19,0.0014239691632897838,0.0016128646675497293,0.001059509115293622,0.001717162609566003,0.0006576534942723811,0.000430265419966228,0.001216587869144361,0.0016313504574352066
0.02,stability_ratio_all,19,0.8227490634439063,0.8228460580139493,0.8211270015038988,0.8245998960612677,0.0034728945573688774,0.0022129743512031446,0.8216824439491323,0.8238156829386803
0.02,stability_ratio_missing,19,0.0955634573050882,0.10771639716008913,0.07328711774870175,0.1147791486901574,0.04149203094145565,0.027480648709552597,0.08231820860769094,0.10880870600248545
