noise_std,metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high
0.0,known_fraction,19,0.6737130817614103,0.6744980812072754,0.6710429191589355,0.6755621433258057,0.004519224166870117,0.002652781090247967,0.6724344822039016,0.6749916813189191
0.0,realized_input_delta_rms_known,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,mae_all,19,0.00029323317396215556,0.00029342802008613944,0.00010002850467571989,0.00039722424116916955,0.00029719573649344966,0.00019156793972491265,0.00020090038258876794,0.0003855659653355432
0.0,rmse_all,19,0.004724783553300719,0.004922077059745789,0.0029494109330698848,0.006109394831582904,0.003159983898513019,0.0018784399279646292,0.0038194044892190275,0.005630162617382411
0.0,psnr_all,19,47.295621370014395,46.15703201293945,44.28084373474121,50.63039016723633,6.349546432495117,3.999753918585214,45.367801690792824,49.223441049235966
0.0,ssim_all,19,0.909225344657898,0.9103841781616211,0.9065144062042236,0.9112718105316162,0.004757404327392578,0.002805644473738429,0.907873067307974,0.9105776220078219
0.0,mae_known,19,2.7960625919850424e-10,3.1100191866251237e-10,2.0949750961785085e-10,3.4862880637920313e-10,1.3913129676135227e-10,1.0187796486597249e-10,2.3050265194030159e-10,3.287098664567069e-10
0.0,rmse_known,19,1.0000049877290668e-06,1.0000053407566156e-06,1.0000038628277252e-06,1.000006022877642e-06,2.1600499167107046e-12,1.7398563456515856e-12,1.0000041491451512e-06,1.0000058263129824e-06
0.0,psnr_known,19,119.99995542827405,119.99995422363281,119.99993896484375,119.99996566772461,2.6702880859375e-05,1.6336162690164513e-05,119.99994755449568,119.99996330205242
0.0,ssim_known,19,0.9126317877518503,0.9144320487976074,0.9088611602783203,0.915263444185257,0.0064022839069366455,0.003869538859714165,0.9107667297220032,0.9144968457816973
0.0,mae_missing,19,0.000900651272738622,0.0009044090984389186,0.0003054691478610039,0.0012133817072026432,0.0009079125593416393,0.0005906059934924367,0.0006159882959413737,0.0011853142495358703
0.0,rmse_missing,19,0.008276153000463781,0.008574421517550945,0.005137215368449688,0.010703659150749445,0.005566443782299757,0.003300711104737987,0.006685261172451064,0.0098670448284765
0.0,psnr_missing,19,42.431482816997324,41.33590316772461,39.40967559814453,45.81135368347168,6.401678085327148,4.011610742207834,40.49794833172068,44.36501730227397
0.0,ssim_missing,19,0.9021824817908438,0.9021723866462708,0.9018979966640472,0.9026269912719727,0.000728994607925415,0.0006857765221195621,0.901851948087571,0.9025130154941167
0.01,known_fraction,19,0.6737130817614103,0.6744980812072754,0.6710429191589355,0.6755621433258057,0.004519224166870117,0.002652781090247967,0.6724344822039016,0.6749916813189191
