model_label,metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high
best_model,known_fraction,19,0.6737130817614103,0.6744980812072754,0.6710429191589355,0.6755621433258057,0.004519224166870117,0.002652781090247967,0.6724344822039016,0.6749916813189191
best_model,mae_all,19,0.00029323317396215556,0.00029342802008613944,0.00010002850467571989,0.00039722424116916955,0.00029719573649344966,0.00019156793972491265,0.00020090038258876794,0.0003855659653355432
best_model,rmse_all,19,0.004724783553300719,0.004922077059745789,0.0029494109330698848,0.006109394831582904,0.003159983898513019,0.0018784399279646292,0.0038194044892190275,0.005630162617382411
best_model,psnr_all,19,47.295621370014395,46.15703201293945,44.28084373474121,50.63039016723633,6.349546432495117,3.999753918585214,45.367801690792824,49.223441049235966
best_model,ssim_all,19,0.909225344657898,0.9103841781616211,0.9065144062042236,0.9112718105316162,0.004757404327392578,0.002805644473738429,0.907873067307974,0.9105776220078219
best_model,mae_known,19,2.7960625919850424e-10,3.1100191866251237e-10,2.0949750961785085e-10,3.4862880637920313e-10,1.3913129676135227e-10,1.0187796486597249e-10,2.3050265194030159e-10,3.287098664567069e-10
best_model,rmse_known,19,1.0000049877290668e-06,1.0000053407566156e-06,1.0000038628277252e-06,1.000006022877642e-06,2.1600499167107046e-12,1.7398563456515856e-12,1.0000041491451512e-06,1.0000058263129824e-06
best_model,psnr_known,19,119.99995542827405,119.99995422363281,119.99993896484375,119.99996566772461,2.6702880859375e-05,1.6336162690164513e-05,119.99994755449568,119.99996330205242
best_model,ssim_known,19,0.9126317877518503,0.9144320487976074,0.9088611602783203,0.915263444185257,0.0064022839069366455,0.003869538859714165,0.9107667297220032,0.9144968457816973
best_model,mae_missing,19,0.000900651272738622,0.0009044090984389186,0.0003054691478610039,0.0012133817072026432,0.0009079125593416393,0.0005906059934924367,0.0006159882959413737,0.0011853142495358703
best_model,rmse_missing,19,0.008276153000463781,0.008574421517550945,0.005137215368449688,0.010703659150749445,0.005566443782299757,0.003300711104737987,0.006685261172451064,0.0098670448284765
best_model,psnr_missing,19,42.431482816997324,41.33590316772461,39.40967559814453,45.81135368347168,6.401678085327148,4.011610742207834,40.49794833172068,44.36501730227397
best_model,ssim_missing,19,0.9021824817908438,0.9021723866462708,0.9018979966640472,0.9026269912719727,0.000728994607925415,0.0006857765221195621,0.901851948087571,0.9025130154941167
last_checkpoint,known_fraction,19,0.6737130817614103,0.6744980812072754,0.6710429191589355,0.6755621433258057,0.004519224166870117,0.002652781090247967,0.6724344822039016,0.6749916813189191
last_checkpoint,mae_all,19,0.0002923073581386186,0.00029154145158827305,9.981610492104664e-05,0.00039674778236076236,0.0002969316774397157,0.00019151456971048018,0.00020000029028877705,0.00038461442598846014
last_checkpoint,rmse_all,19,0.004720445569163482,0.004927590023726225,0.0029438218334689736,0.006101783365011215,0.0031579615315422416,0.0018799536307926691,0.003814336923672587,0.005626554214654377
last_checkpoint,psnr_all,19,47.304123527125306,46.147308349609375,44.29150199890137,50.646671295166016,6.355169296264648,3.9981615527748295,45.37707134365679,49.231175710593824
last_checkpoint,ssim_all,19,0.9092346304341367,0.9103900790214539,0.9065245687961578,0.9112944602966309,0.0047698915004730225,0.002808982516112895,0.9078807441992887,0.9105885166689847
last_checkpoint,mae_known,19,2.7960625919850424e-10,3.1100191866251237e-10,2.0949750961785085e-10,3.4862880637920313e-10,1.3913129676135227e-10,1.0187796486597249e-10,2.3050265194030159e-10,3.287098664567069e-10
last_checkpoint,rmse_known,19,1.0000049877290668e-06,1.0000053407566156e-06,1.0000038628277252e-06,1.000006022877642e-06,2.1600499167107046e-12,1.7398563456515856e-12,1.0000041491451512e-06,1.0000058263129824e-06
last_checkpoint,psnr_known,19,119.99995542827405,119.99995422363281,119.99993896484375,119.99996566772461,2.6702880859375e-05,1.6336162690164513e-05,119.99994755449568,119.99996330205242
last_checkpoint,ssim_known,19,0.9126446090246502,0.9144415855407715,0.9088732004165649,0.9152913391590118,0.006418138742446899,0.0038750430122647833,0.9107768980781936,0.9145123199711067
last_checkpoint,mae_missing,19,0.000897808312545653,0.0008985943859443069,0.0003048207436222583,0.0012119311722926795,0.0009071104286704212,0.0005904374456385772,0.0006132265732135525,0.0011823900518777536
last_checkpoint,rmse_missing,19,0.008268554560153893,0.008584026247262955,0.005127479089424014,0.010690406430512667,0.005562927341088653,0.0033033807775103433,0.0066763759910535014,0.009860733129254284
last_checkpoint,psnr_missing,19,42.43998417101408,41.32617950439453,39.42033386230469,45.82763481140137,6.40730094909668,4.010003121273638,40.507224534224804,44.37274380780336
last_checkpoint,ssim_missing,19,0.902184480114987,0.9021627306938171,0.9018907845020294,0.9026413261890411,0.0007505416870117188,0.000689399739966564,0.901852200076612,0.9025167601533619
