experiment,model,weights_path,metric,n,mean,median,q25,q75,iqr,std,ci95_low,ci95_high
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,mae_all,19,0.000526085380682305,0.0005022732075303793,0.00026827699912246317,0.0007812902913428843,0.0005130132922204211,0.00030240220414015076,0.00038033218384874313,0.000671838577515867
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,mae_known,19,2.9762014928570503e-10,3.289306604870035e-10,2.217043146290898e-10,3.6786784729514466e-10,1.4616353266605486e-10,1.0775980624996417e-10,2.4568158522742757e-10,3.495587133439825e-10
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,mae_missing,19,0.0015310763127145994,0.0014560545096173882,0.0007970771694090217,0.0022204015403985977,0.001423324370989576,0.0008759504646985916,0.0011088817031855863,0.001953270922243612
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,psnr_all,19,43.58210413079513,43.231754302978516,40.907859802246094,45.35317611694336,4.445316314697266,3.2569792591805444,42.012290377631615,45.151917883958646
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,psnr_known,19,119.9999546251799,119.99995422363281,119.99993896484375,119.99996566772461,2.6702880859375e-05,1.961242249131616e-05,119.99994517229484,119.99996407806495
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,psnr_missing,19,38.9330785650956,38.66496276855469,36.362220764160156,40.68764305114746,4.325422286987305,3.2448279478881106,37.36912155650055,40.497035573690646
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,rmse_all,19,0.0070377154839470196,0.0068930634297430515,0.0053999831434339285,0.009012626949697733,0.0036126438062638044,0.0023505353029990984,0.005904793732743501,0.00817063723515054
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,rmse_known,19,1.0000054544434533e-06,1.0000057955039665e-06,1.0000042607316573e-06,1.0000066481552494e-06,2.3874235921539366e-12,1.9278403581933926e-12,1.0000045252541441e-06,1.0000063836327625e-06
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,rmse_missing,19,0.012013589031994343,0.011661434546113014,0.009240629617124796,0.01520445616915822,0.005963826552033424,0.0039950429529419275,0.010088039965530489,0.013939138098458197
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,ssim_all,19,0.9069008576242548,0.9078422784805298,0.9052942395210266,0.9085309505462646,0.003236711025238037,0.0020394624569672155,0.905917868185503,0.9078838470630065
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,ssim_known,19,0.9107940918520877,0.912194013595581,0.9078092277050018,0.9137553572654724,0.005946129560470581,0.0033921899316499446,0.9091591086408692,0.9124290750633062
partialresunet3d_full,partial,runs\ablation_final_128\partialresunet3d_full\train\best_model.pt,ssim_missing,19,0.89944778304351,0.8999766707420349,0.8981751203536987,0.9006744921207428,0.0024993717670440674,0.0015721630423714637,0.8986900247129423,0.9002055413740777
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,mae_all,19,0.003356335984886085,0.003515316406264901,0.002221446018666029,0.004144100705161691,0.0019226546864956617,0.0015508853067051978,0.002608833194629574,0.004103838775142595
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,mae_known,19,0.004285664070936802,0.004406879190355539,0.0028738504042848945,0.005271185887977481,0.0023973354836925864,0.00193261294883737,0.00335417444659387,0.005217153695279734
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,mae_missing,19,0.0015788424030975684,0.0015522122848778963,0.0009162305213976651,0.002067450084723532,0.001151219563325867,0.0008554671396573113,0.001166520440214887,0.0019911643659802497
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,psnr_all,19,36.400127812435755,36.0405158996582,34.74113655090332,37.740644454956055,2.9995079040527344,2.628106900747569,35.133420833584594,37.66683479128692
partialresunet3d_no_hard_constraint,partial,runs\ablation_final_128\partialresunet3d_no_hard_constraint\train\best_model.pt,psnr_known,19,35.597455376072936,35.3968505859375,33.98140907287598,36.914655685424805,2.933246612548828,2.6811883238373566,34.30516397025038,36.88974678189549
