case_id,path,model_label,weight_path,slice_count,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_124,liver_124.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6695094108581543,9.360701369587332e-05,0.002725532278418541,51.29097366333008,0.9066795110702515,2.430039225398417e-10,1.0000044312619139e-06,119.99996185302734,0.9092198014259338,0.0002832360623870045,0.004741019569337368,46.48256301879883,0.9015340209007263
liver_124,liver_124.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6695094108581543,9.274683543480933e-05,0.002721227239817381,51.30470275878906,0.9066929221153259,2.430039225398417e-10,1.0000044312619139e-06,119.99996185302734,0.9092351198196411,0.0002806333068292588,0.0047335317358374596,46.49629592895508,0.9015433192253113
liver_103,liver_103.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6751418113708496,0.00042230088729411364,0.006369676440954208,43.91765213012695,0.9103841781616211,3.405270232459401e-10,1.000006022877642e-06,119.99995422363281,0.9144320487976074,0.0012999539030715823,0.011175589635968208,39.03459167480469,0.9019721150398254
liver_103,liver_103.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6751418113708496,0.000421987846493721,0.006379707250744104,43.90398406982422,0.9103900790214539,3.405270232459401e-10,1.000006022877642e-06,119.99995422363281,0.9144415855407715,0.0012989903334528208,0.011193189769983292,39.02092361450195,0.9019703269004822
liver_78,liver_78.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6747126579284668,7.906235987320542e-05,0.0023443440441042185,52.599571228027344,0.9063493013381958,1.7599109669586e-10,1.0000032943935366e-06,119.99996948242188,0.9085025191307068,0.0002430535532766953,0.004110434558242559,47.72224426269531,0.9018839001655579
liver_78,liver_78.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6747126579284668,7.864429062465206e-05,0.0023401968646794558,52.614952087402344,0.9063562154769897,1.7599109669586e-10,1.0000032943935366e-06,119.99996948242188,0.9085112810134888,0.00024176834267564118,0.004103163257241249,47.73762130737305,0.901886522769928
liver_45,liver_45.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6740026473999023,9.811417839955539e-05,0.0024833681527525187,52.09918212890625,0.9059814810752869,6.064107549441644e-11,1.00000113434362e-06,119.99999237060547,0.9079499244689941,0.00030096605769358575,0.004349446855485439,47.2313232421875,0.9019120931625366
liver_45,liver_45.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6740026473999023,9.792282071430236e-05,0.002485624048858881,52.09129333496094,0.9059776663780212,6.064107549441644e-11,1.00000113434362e-06,119.99999237060547,0.9079445004463196,0.0003003790625371039,0.0043533979915082455,47.22343444824219,0.9019119143486023
liver_91,liver_91.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6755657196044922,0.00023994571529328823,0.004220366477966309,47.49299621582031,0.9095842242240906,3.3268271470987543e-10,1.000006022877642e-06,119.99995422363281,0.9129798412322998,0.0007395811844617128,0.007409463170915842,42.60426330566406,0.9025139808654785
liver_91,liver_91.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6755657196044922,0.00023787742247805,0.004192178137600422,47.55120849609375,0.9096042513847351,3.3268271470987543e-10,1.000006022877642e-06,119.99995422363281,0.9130021929740906,0.0007332061068154871,0.007359975017607212,42.662471771240234,0.902529239654541
liver_84,liver_84.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.675717830657959,0.0005874210619367659,0.007307866122573614,42.72418975830078,0.9114660620689392,3.1100191866251237e-10,1.000005227069778e-06,119.99995422363281,0.9160401225090027,0.0018114495323970914,0.012833025306463242,37.83341979980469,0.9019355177879333
liver_84,liver_84.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.675717830657959,0.0005887019215151668,0.007328335661441088,42.699893951416016,0.9114532470703125,3.1100191866251237e-10,1.000005227069778e-06,119.99995422363281,0.9160403609275818,0.001815399737097323,0.0128689706325531,37.80912399291992,0.9018950462341309
liver_18,liver_18.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6755585670471191,0.00029342802008613944,0.004854104015976191,46.27781677246094,0.9111515283584595,3.4482025568216557e-10,1.0000059091908042e-06,119.99995422363281,0.9151914119720459,0.0009044090984389186,0.00852198712527752,41.389183044433594,0.9027400016784668
liver_18,liver_18.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6755585670471191,0.00029154145158827305,0.004844954703003168,46.29420852661133,0.9111745357513428,3.4482025568216557e-10,1.0000059091908042e-06,119.99995422363281,0.9152191281318665,0.0008985943859443069,0.008505924604833126,41.40556716918945,0.9027534127235413
liver_58,liver_58.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6692333221435547,6.249554280657321e-05,0.002433144487440586,52.27664566040039,0.9046799540519714,1.5403098241328905e-10,1.0000030670198612e-06,119.99996948242188,0.906486988067627,0.00018894116510637105,0.004230648744851351,47.47186279296875,0.9010245203971863
liver_58,liver_58.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.6692333221435547,6.232982559595257e-05,0.002436356619000435,52.26518249511719,0.9046821594238281,1.5403098241328905e-10,1.0000030670198612e-06,119.99996948242188,0.9064899682998657,0.0001884401572169736,0.004236234351992607,47.46039962768555,0.9010249972343445
liver_21,liver_21.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.670475959777832,0.000273226760327816,0.004922077059745789,46.15703201293945,0.9096315503120422,2.973841173314895e-10,1.0000051133829402e-06,119.99995422363281,0.9133139848709106,0.0008291551494039595,0.008574421517550945,41.33590316772461,0.9021393656730652
liver_21,liver_21.nii.gz,last_checkpoint,runs\ablation_final_128\standard_unet3d_no_partialconv\train\checkpoints\last.pt,64,0.670475959777832,0.00027318019419908524,0.004927590023726225,46.147308349609375,0.9096387624740601,2.973841173314895e-10,1.0000051133829402e-06,119.99995422363281,0.9133293628692627,0.0008290139376185834,0.008584026247262955,41.32617950439453,0.9021300077438354
liver_127,liver_127.nii.gz,best_model,runs\ablation_final_128\standard_unet3d_no_partialconv\train\best_model.pt,64,0.6765017509460449,0.00033278437331318855,0.0050139594823122025,45.99638366699219,0.911392092704773,3.53967688493384e-10,1.000006022877642e-06,119.99993896484375,0.915335476398468,0.0010287045734003186,0.008815457113087177,41.0951042175293,0.9031460881233215
