case_id,path,noise_std,slice_count,sampling_strategy,known_fraction,realized_input_delta_rms_known,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_124,liver_124.nii.gz,0.0,64,fibonacci,0.6695094108581543,0.0,9.360701369587332e-05,0.002725532278418541,51.29097366333008,0.9066795110702515,2.430039225398417e-10,1.0000044312619139e-06,119.99996185302734,0.9092198014259338,0.0002832360623870045,0.004741019569337368,46.48256301879883,0.9015340209007263
liver_124,liver_124.nii.gz,0.01,64,fibonacci,0.6695094108581543,0.007295771036297083,0.0029324847273528576,0.006556410808116198,43.66667938232422,0.8350182175636292,0.0042429957538843155,0.00729577150195837,42.73857498168945,0.8219842314720154,0.00027764507103711367,0.004715797491371632,46.52889633178711,0.8614225387573242
liver_124,liver_124.nii.gz,0.02,64,fibonacci,0.6695094108581543,0.014567199163138866,0.005763634108006954,0.012219559401273727,38.258888244628906,0.6796375513076782,0.00847267359495163,0.014567197300493717,36.732479095458984,0.638024628162384,0.0002756474423222244,0.004682269878685474,46.59087371826172,0.76393723487854
liver_124,liver_124.nii.gz,0.05,64,fibonacci,0.6695094108581543,0.036364469677209854,0.014247019775211811,0.029894797131419182,30.488088607788086,0.3085889518260956,0.021125290542840958,0.03636446222662926,28.786457061767578,0.23983275890350342,0.00031298291287384927,0.005028589628636837,45.971073150634766,0.44787564873695374
liver_103,liver_103.nii.gz,0.0,64,fibonacci,0.6751418113708496,0.0,0.00042230088729411364,0.006369676440954208,43.91765213012695,0.9103841781616211,3.405270232459401e-10,1.000006022877642e-06,119.99995422363281,0.9144320487976074,0.0012999539030715823,0.011175589635968208,39.03459167480469,0.9019721150398254
liver_103,liver_103.nii.gz,0.01,64,fibonacci,0.6751418113708496,0.007487501483410597,0.0034398913849145174,0.008851723745465279,41.05944061279297,0.8445781469345093,0.004472371656447649,0.0074875010177493095,42.51325988769531,0.835675835609436,0.0012941223103553057,0.011165942996740341,39.042091369628906,0.863079309463501
liver_103,liver_103.nii.gz,0.02,64,fibonacci,0.6751418113708496,0.01497587189078331,0.006462927907705307,0.01386225875467062,37.1633186340332,0.6996344327926636,0.008947852067649364,0.014975869096815586,36.49216079711914,0.6670478582382202,0.001298594055697322,0.011199099943041801,39.01633834838867,0.7673579454421997
liver_103,liver_103.nii.gz,0.05,64,fibonacci,0.6751418113708496,0.03743719682097435,0.015546582639217377,0.03144951909780502,30.047719955444336,0.3436225950717926,0.02237723208963871,0.03743719682097435,28.533933639526367,0.290090411901474,0.0013506751274690032,0.011482457630336285,38.79930114746094,0.45487669110298157
liver_78,liver_78.nii.gz,0.0,64,fibonacci,0.6747126579284668,0.0,7.906235987320542e-05,0.0023443440441042185,52.599571228027344,0.9063493013381958,1.7599109669586e-10,1.0000032943935366e-06,119.99996948242188,0.9085025191307068,0.0002430535532766953,0.004110434558242559,47.72224426269531,0.9018839001655579
liver_78,liver_78.nii.gz,0.01,64,fibonacci,0.6747126579284668,0.0072418563067913055,0.0029033776372671127,0.006393421906977892,43.88533020019531,0.8336247205734253,0.0041886321268975735,0.00724185723811388,42.803001403808594,0.8202817440032959,0.00023749696265440434,0.004108537454158068,47.726253509521484,0.8613010048866272
