case_id,path,slice_count,repeat_index,geometry_seed,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_124,liver_124.nii.gz,4,0,3225591062,0.0713353157043457,0.004529206082224846,0.03244448080658913,29.777183532714844,0.8697075247764587,1.1952722882638267e-12,9.999999974752427e-07,120.0,0.890349268913269,0.004877116531133652,0.033667538315057755,29.455774307250977,0.8681219816207886
liver_124,liver_124.nii.gz,4,1,1072368692,0.06837654113769531,0.004978056997060776,0.033918917179107666,29.391159057617188,0.866593599319458,9.975950621132768e-12,1.0000001111620804e-06,120.0,0.8861371874809265,0.005343421828001738,0.03514162078499794,29.08356475830078,0.8651592135429382
liver_124,liver_124.nii.gz,4,2,3285935949,0.06964254379272461,0.00376838818192482,0.027358612045645714,31.25811767578125,0.8721015453338623,1.938515103647176e-12,9.999999974752427e-07,120.0,0.8848272562026978,0.004050473682582378,0.028364108875393867,30.944616317749023,0.8711488842964172
liver_124,liver_124.nii.gz,4,3,3654303465,0.07210063934326172,0.004182847682386637,0.03137405961751938,30.068586349487305,0.8683140277862549,6.898411963190965e-12,1.0000001111620804e-06,120.0,0.878508448600769,0.004507867619395256,0.032570187002420425,29.743595123291016,0.8675218820571899
liver_124,liver_124.nii.gz,4,4,1494438179,0.0710611343383789,0.0042484719306230545,0.03188226744532585,29.92901611328125,0.8705968856811523,1.7998262385673924e-12,9.999999974752427e-07,120.0,0.8858371376991272,0.004573467653244734,0.033079247921705246,29.60888671875,0.8694311380386353
liver_124,liver_124.nii.gz,4,5,837779151,0.0728302001953125,0.004252961836755276,0.03067976050078869,30.262962341308594,0.869384229183197,4.493929100374272e-12,9.999999974752427e-07,120.0,0.8855292201042175,0.004587036557495594,0.03186194971203804,29.934555053710938,0.8681160807609558
liver_124,liver_124.nii.gz,4,6,2052571007,0.06979990005493164,0.004241530317813158,0.03168851137161255,29.981964111328125,0.8693647980690002,1.8323478585130504e-12,9.999999974752427e-07,120.0,0.8790581226348877,0.00455980421975255,0.03285592049360275,29.667728424072266,0.8686375617980957
liver_124,liver_124.nii.gz,4,7,1218011717,0.0717616081237793,0.003192927222698927,0.024520812556147575,32.20930480957031,0.8756340742111206,9.90143297213697e-13,9.999999974752427e-07,120.0,0.8815611600875854,0.0034397707786411047,0.025451013818383217,31.88589859008789,0.8751758337020874
liver_124,liver_124.nii.gz,8,0,2369608804,0.1300220489501953,0.002483854303136468,0.02283126674592495,32.82939910888672,0.8844344019889832,1.8472686921788828e-11,1.0000002248489182e-06,120.0,0.8971278071403503,0.002855077385902405,0.024477995932102203,32.224483489990234,0.8825373649597168
liver_124,liver_124.nii.gz,8,1,1913786173,0.13246583938598633,0.0016491024289280176,0.01588032767176628,35.982810974121094,0.8919446468353271,2.5441978385165598e-11,1.0000003385357559e-06,120.0,0.8926005959510803,0.0019009077223017812,0.017049677670001984,35.36567687988281,0.891844630241394
liver_124,liver_124.nii.gz,8,2,2230835363,0.1398477554321289,0.0017869435250759125,0.017414608970284462,35.181724548339844,0.8906077146530151,1.2168589053063172e-11,1.0000001111620804e-06,120.0,0.899258017539978,0.002077473560348153,0.018776994198560715,34.5274772644043,0.8892013430595398
liver_124,liver_124.nii.gz,8,3,2087069938,0.1359696388244629,0.001822403515689075,0.017152445390820503,35.313480377197266,0.8899658918380737,1.5722961127506707e-11,1.0000002248489182e-06,120.0,0.8963083624839783,0.002109189284965396,0.01845276914536953,34.678768157958984,0.8889678120613098
liver_124,liver_124.nii.gz,8,4,657830375,0.13250207901000977,0.0025192834436893463,0.023251909762620926,32.67082595825195,0.8849846124649048,1.861458730212373e-11,1.0000002248489182e-06,120.0,0.8971284627914429,0.0029040800873190165,0.024964589625597,32.05351257324219,0.8831298351287842
liver_124,liver_124.nii.gz,8,5,3040924575,0.13643455505371094,0.0022815633565187454,0.020352907478809357,33.82747268676758,0.8847436904907227,2.4976132273479834e-11,1.0000003385357559e-06,120.0,0.8966726660728455,0.0026420271024107933,0.021901750937104225,33.190425872802734,0.8828589916229248
liver_124,liver_124.nii.gz,8,6,890855267,0.13514423370361328,0.00260803010314703,0.02326934225857258,32.6643180847168,0.8838079571723938,1.5018840338054673e-11,1.0000002248489182e-06,120.0,0.8996502161026001,0.0030155666172504425,0.02502143755555153,32.033756256103516,0.8813324570655823
liver_124,liver_124.nii.gz,8,7,942436546,0.13469409942626953,0.0017356270691379905,0.017179924994707108,35.29957580566406,0.8913543224334717,1.78508926390597e-11,1.0000002248489182e-06,120.0,0.8978714942932129,0.0020057959482073784,0.0184687040746212,34.67127227783203,0.8903400301933289
