case_id,path,slice_count,sampling_strategy,known_fraction,mae_all,rmse_all,psnr_all,ssim_all,mae_known,rmse_known,psnr_known,ssim_known,mae_missing,rmse_missing,psnr_missing,ssim_missing
liver_124,liver_124.nii.gz,4,fibonacci,0.07263946533203125,0.0036495972890406847,0.028749683871865273,30.82733917236328,0.8748116493225098,9.781772830966262e-13,9.999999974752427e-07,120.0,0.8867494463920593,0.003935467451810837,0.02985442988574505,30.49982261657715,0.8738766312599182
liver_124,liver_124.nii.gz,8,fibonacci,0.13547468185424805,0.0024685231037437916,0.023978840559720993,32.40343475341797,0.8860961198806763,1.5832854124986362e-11,1.0000002248489182e-06,120.0,0.8960618376731873,0.002855350961908698,0.025789285078644753,31.77121353149414,0.8845345377922058
liver_124,liver_124.nii.gz,16,fibonacci,0.253385066986084,0.0010390931274741888,0.012591027654707432,37.998775482177734,0.8985282182693481,3.519612379321302e-11,1.0000005659094313e-06,120.0,0.9046915769577026,0.0013917390024289489,0.014571787789463997,36.72974395751953,0.8964368104934692
liver_124,liver_124.nii.gz,32,fibonacci,0.42931509017944336,0.00045060773845762014,0.007252496201545,42.790252685546875,0.9038347005844116,1.1098607449744335e-10,1.0000017027778085e-06,119.99998474121094,0.9085566401481628,0.0007895911112427711,0.009600399062037468,40.35421371459961,0.9002828598022461
liver_124,liver_124.nii.gz,64,fibonacci,0.6695094108581543,9.360701369587332e-05,0.002725532278418541,51.29097366333008,0.9066795110702515,2.430039225398417e-10,1.0000044312619139e-06,119.99996185302734,0.9092198014259338,0.0002832360623870045,0.004741019569337368,46.48256301879883,0.9015340209007263
liver_124,liver_124.nii.gz,128,fibonacci,0.8823962211608887,2.8257562007638626e-05,0.0015903294552117586,55.97026062011719,0.9069614410400391,3.1796629218483474e-10,1.0000053407566156e-06,119.99995422363281,0.9077869653701782,0.00024027527251746505,0.0046374197117984295,46.674468994140625,0.9007688164710999
liver_103,liver_103.nii.gz,4,fibonacci,0.07336235046386719,0.0088305389508605,0.044674377888441086,26.998828887939453,0.8377478718757629,3.874154686292486e-13,9.999999974752427e-07,120.0,0.8714824914932251,0.00952965673059225,0.04640914127230644,26.66792869567871,0.835077166557312
liver_103,liver_103.nii.gz,8,fibonacci,0.13739681243896484,0.00582479452714324,0.03394175320863724,29.38531494140625,0.8593789339065552,1.5229963123974954e-11,1.0000002248489182e-06,120.0,0.885545015335083,0.006752577144652605,0.03654506430029869,28.743423461914062,0.8552111387252808
liver_103,liver_103.nii.gz,16,fibonacci,0.2578773498535156,0.003190200310200453,0.022237801924347878,33.058162689208984,0.8845179080963135,4.2446188924794015e-11,1.000000679596269e-06,119.99999237060547,0.89815753698349,0.004298750776797533,0.02581392228603363,31.762920379638672,0.8797785043716431
liver_103,liver_103.nii.gz,32,fibonacci,0.4326167106628418,0.0015639311168342829,0.014087202027440071,37.02350616455078,0.9006059765815735,1.4140501269910288e-10,1.0000022712119971e-06,119.99998474121094,0.9100674390792847,0.0027563925832509995,0.018701931461691856,34.56227111816406,0.8933921456336975
liver_103,liver_103.nii.gz,64,fibonacci,0.6751418113708496,0.00042230088729411364,0.006369676440954208,43.91765213012695,0.9103841781616211,3.405270232459401e-10,1.000006022877642e-06,119.99995422363281,0.9144320487976074,0.0012999539030715823,0.011175589635968208,39.03459167480469,0.9019721150398254
liver_103,liver_103.nii.gz,128,fibonacci,0.8869600296020508,8.794697350822389e-05,0.003026263788342476,50.381866455078125,0.9126829504966736,5.217423160175372e-10,1.0000086376749096e-06,119.99992370605469,0.9141035079956055,0.0007780125015415251,0.009000999853014946,40.914188385009766,0.9015384316444397
liver_78,liver_78.nii.gz,4,fibonacci,0.07328319549560547,0.003364753443747759,0.02593318559229374,31.722881317138672,0.8772746324539185,7.756678329154387e-13,9.999999974752427e-07,120.0,0.8926126956939697,0.0036308325361460447,0.02693905495107174,31.392353057861328,0.876061737537384
liver_78,liver_78.nii.gz,8,fibonacci,0.13725709915161133,0.001761595718562603,0.017848890274763107,34.9677734375,0.891566276550293,1.3770097909149293e-11,1.0000002248489182e-06,120.0,0.9008607864379883,0.0020418548956513405,0.019216332584619522,34.32658767700195,0.8900877237319946
liver_78,liver_78.nii.gz,16,fibonacci,0.2574653625488281,0.0006548513192683458,0.008345807902514935,41.57062911987305,0.902147650718689,2.6221604748633e-11,1.0000003385357559e-06,120.0,0.9072889685630798,0.0008819135255180299,0.009685232304036617,40.277801513671875,0.9003651142120361
liver_78,liver_78.nii.gz,32,fibonacci,0.43244314193725586,0.000312697229674086,0.005124980118125677,45.806156158447266,0.9049725532531738,8.226962860957698e-11,1.0000013617172954e-06,119.99999237060547,0.9087781310081482,0.0005509530892595649,0.006802796386182308,43.34625244140625,0.902073323726654
liver_78,liver_78.nii.gz,64,fibonacci,0.6747126579284668,7.906235987320542e-05,0.0023443440441042185,52.599571228027344,0.9063493013381958,1.7599109669586e-10,1.0000032943935366e-06,119.99996948242188,0.9085025191307068,0.0002430535532766953,0.004110434558242559,47.72224426269531,0.9018839001655579
liver_78,liver_78.nii.gz,128,fibonacci,0.8866710662841797,4.451600761967711e-05,0.00194762262981385,54.209903717041016,0.9063637256622314,2.3511256830310856e-10,1.000003976514563e-06,119.99996185302734,0.9070499539375305,0.00039280171040445566,0.005785413086414337,44.75331115722656,0.900995671749115
liver_45,liver_45.nii.gz,4,fibonacci,0.07285499572753906,0.003393949707970023,0.024710774421691895,32.14227294921875,0.8673989772796631,1.9505669865763076e-13,9.999999974752427e-07,120.0,0.8789002299308777,0.0036606460344046354,0.025663301348686218,31.813751220703125,0.8664953112602234
liver_45,liver_45.nii.gz,8,fibonacci,0.1371469497680664,0.0017327917739748955,0.015725836157798767,36.067726135253906,0.8886632323265076,2.1314488802409715e-12,9.999999974752427e-07,120.0,0.8955697417259216,0.002008211798965931,0.016929546371102333,35.427093505859375,0.887565553188324
liver_45,liver_45.nii.gz,16,fibonacci,0.2569708824157715,0.0008302950300276279,0.00901108980178833,40.904457092285156,0.8997719883918762,6.363983558882458e-12,1.0000001111620804e-06,120.0,0.9037680625915527,0.0011174461105838418,0.010453805327415466,39.6145133972168,0.8983901143074036
liver_45,liver_45.nii.gz,32,fibonacci,0.43215513229370117,0.00040191522566601634,0.005751229356974363,44.804786682128906,0.9033634066581726,1.992186797472595e-11,1.0000003385357559e-06,120.0,0.9067971706390381,0.0007077905465848744,0.007632131222635508,42.347084045410156,0.9007502794265747
liver_45,liver_45.nii.gz,64,fibonacci,0.6740026473999023,9.811417839955539e-05,0.0024833681527525187,52.09918212890625,0.9059814810752869,6.064107549441644e-11,1.00000113434362e-06,119.99999237060547,0.9079499244689941,0.00030096605769358575,0.004349446855485439,47.2313232421875,0.9019120931625366
liver_45,liver_45.nii.gz,128,fibonacci,0.8862371444702148,5.047601734986529e-05,0.0020522160921245813,53.75553512573242,0.9060713052749634,9.56905804594399e-11,1.000001475404133e-06,119.99999237060547,0.9067502617835999,0.0004436942981556058,0.006084470544010401,44.31554412841797,0.900783360004425
liver_91,liver_91.nii.gz,4,fibonacci,0.07340621948242188,0.0070241522043943405,0.03997888043522835,27.963388442993164,0.8512429594993591,9.6795987024334e-13,9.999999974752427e-07,120.0,0.8759756088256836,0.007580616511404514,0.04153229668736458,27.632282257080078,0.8492836356163025
liver_91,liver_91.nii.gz,8,fibonacci,0.1373577117919922,0.004473385401070118,0.031544458121061325,30.02153778076172,0.8709418177604675,1.6656856449692725e-11,1.0000002248489182e-06,120.0,0.8905173540115356,0.005185678135603666,0.033963125199079514,29.379846572875977,0.8678248524665833
liver_91,liver_91.nii.gz,16,fibonacci,0.25820255279541016,0.0020465487614274025,0.01707535795867443,35.352603912353516,0.8924249410629272,4.336857262199345e-11,1.000000679596269e-06,119.99999237060547,0.9021884799003601,0.0027589050587266684,0.019825637340545654,34.055458068847656,0.8890266418457031
liver_91,liver_91.nii.gz,32,fibonacci,0.4331645965576172,0.0009358811075799167,0.01000362541526556,39.996849060058594,0.9035468697547913,1.4356817124028254e-10,1.0000022712119971e-06,119.99998474121094,0.9104775786399841,0.0016510632121935487,0.01328706182539463,37.53142166137695,0.8982508778572083
liver_91,liver_91.nii.gz,64,fibonacci,0.6755657196044922,0.00023994571529328823,0.004220366477966309,47.49299621582031,0.9095842242240906,3.3268271470987543e-10,1.000006022877642e-06,119.99995422363281,0.9129798412322998,0.0007395811844617128,0.007409463170915842,42.60426330566406,0.9025139808654785
liver_91,liver_91.nii.gz,128,fibonacci,0.887237548828125,6.0280457546468824e-05,0.0023651847150176764,52.52269744873047,0.9105784893035889,4.802997999320269e-10,1.000008069240721e-06,119.99993133544922,0.9117658138275146,0.0005345754325389862,0.007043406832963228,43.044342041015625,0.9012380242347717
liver_84,liver_84.nii.gz,4,fibonacci,0.07312154769897461,0.009600216522812843,0.0445704460144043,27.019060134887695,0.8227180242538452,1.5547652141428836e-12,9.999999974752427e-07,120.0,0.8621700406074524,0.010357578285038471,0.0462951585650444,26.689289093017578,0.8196056485176086
liver_84,liver_84.nii.gz,8,fibonacci,0.1375865936279297,0.006765834055840969,0.035467810928821564,29.003313064575195,0.8471998572349548,1.3666111645105339e-11,1.0000002248489182e-06,120.0,0.878449559211731,0.00784523319453001,0.038192372769117355,28.36046600341797,0.8422143459320068
liver_84,liver_84.nii.gz,16,fibonacci,0.2579474449157715,0.0036815758794546127,0.02189774252474308,33.192012786865234,0.8796340227127075,4.059601266259705e-11,1.0000005659094313e-06,119.99999237060547,0.8933669924736023,0.00496134115383029,0.025420378893613815,31.896360397338867,0.874860405921936
liver_84,liver_84.nii.gz,32,fibonacci,0.4329414367675781,0.002013550605624914,0.015200243331491947,36.36298751831055,0.8977522850036621,1.362616686151341e-10,1.0000021575251594e-06,119.99998474121094,0.9088166356086731,0.003550868947058916,0.02018536441028118,33.899269104003906,0.8893049955368042
liver_84,liver_84.nii.gz,64,fibonacci,0.675717830657959,0.0005874210619367659,0.007307866122573614,42.72418975830078,0.9114660620689392,3.1100191866251237e-10,1.000005227069778e-06,119.99995422363281,0.9160401225090027,0.0018114495323970914,0.012833025306463242,37.83341979980469,0.9019355177879333
liver_84,liver_84.nii.gz,128,fibonacci,0.8875298500061035,0.00012905802577733994,0.003605305915698409,48.86116027832031,0.9148216843605042,5.008925496596817e-10,1.0000078418670455e-06,119.99993133544922,0.9164789319038391,0.0011474828934296966,0.010750371031463146,39.37153244018555,0.9017450213432312
liver_18,liver_18.nii.gz,4,fibonacci,0.07329082489013672,0.007658656686544418,0.04123562574386597,27.694547653198242,0.8475901484489441,3.877935570318486e-13,9.999999974752427e-07,120.0,0.8737022280693054,0.008264358155429363,0.04283520579338074,27.363983154296875,0.8455250859260559
liver_18,liver_18.nii.gz,8,fibonacci,0.13739299774169922,0.004449265077710152,0.028902847319841385,30.78118896484375,0.8690375685691833,1.742831920448218e-11,1.0000002248489182e-06,120.0,0.8911921381950378,0.0051579284481704235,0.031119609251618385,30.13931655883789,0.8655088543891907
liver_18,liver_18.nii.gz,16,fibonacci,0.257967472076416,0.0021052779629826546,0.016568241640925407,35.614471435546875,0.892575740814209,4.888610002917737e-11,1.0000007932831068e-06,119.99999237060547,0.903982400894165,0.0028371773660182953,0.019233793020248413,34.31869888305664,0.8886104822158813
liver_18,liver_18.nii.gz,32,fibonacci,0.4327220916748047,0.0010726224863901734,0.011149328202009201,39.05502700805664,0.9037107229232788,1.5802328889868988e-10,1.0000023848988349e-06,119.99998474121094,0.9126062989234924,0.0018908234778791666,0.01480303518474102,36.59298324584961,0.8969254493713379
liver_18,liver_18.nii.gz,64,fibonacci,0.6755585670471191,0.00029342802008613944,0.004854104015976191,46.27781677246094,0.9111515283584595,3.4482025568216557e-10,1.0000059091908042e-06,119.99995422363281,0.9151914119720459,0.0009044090984389186,0.00852198712527752,41.389183044433594,0.9027400016784668
liver_18,liver_18.nii.gz,128,fibonacci,0.8873023986816406,6.366743036778644e-05,0.0022170888260006905,53.0843391418457,0.9127813577651978,5.293005478357315e-10,1.0000084103012341e-06,119.99992370605469,0.9142202138900757,0.0005649361992254853,0.006604283582419157,43.603485107421875,0.9014542698860168
liver_58,liver_58.nii.gz,4,fibonacci,0.07256317138671875,0.0027054469101130962,0.024393044412136078,32.25468063354492,0.8795983195304871,1.1750469304169786e-12,9.999999974752427e-07,120.0,0.889119029045105,0.0029171225614845753,0.025329336524009705,31.92752456665039,0.8788534998893738
liver_58,liver_58.nii.gz,8,fibonacci,0.13546085357666016,0.0014155725948512554,0.016267679631710052,35.77348709106445,0.892278254032135,1.1146417989993385e-11,1.0000001111620804e-06,120.0,0.8995451331138611,0.0016373724211007357,0.01749577932059765,35.141334533691406,0.8911397457122803
liver_58,liver_58.nii.gz,16,fibonacci,0.25406551361083984,0.0006477293209172785,0.009280378930270672,40.648685455322266,0.8998546600341797,2.5349491603043894e-11,1.0000003385357559e-06,120.0,0.9045904278755188,0.0008683460182510316,0.010745221748948097,39.375694274902344,0.8982417583465576
liver_58,liver_58.nii.gz,32,fibonacci,0.42986345291137695,0.0002797422930598259,0.0053500221110880375,45.43288803100586,0.9031025767326355,7.38026306734696e-11,1.00000113434362e-06,119.99999237060547,0.9065227508544922,0.0004906583344563842,0.007085428573191166,42.99267578125,0.9005241394042969
