case_id,slice_count,path,known_fraction_repeat_mean,known_fraction_repeat_std,mae_all_repeat_mean,mae_all_repeat_std,rmse_all_repeat_mean,rmse_all_repeat_std,psnr_all_repeat_mean,psnr_all_repeat_std,ssim_all_repeat_mean,ssim_all_repeat_std,mae_known_repeat_mean,mae_known_repeat_std,rmse_known_repeat_mean,rmse_known_repeat_std,psnr_known_repeat_mean,psnr_known_repeat_std,ssim_known_repeat_mean,ssim_known_repeat_std,mae_missing_repeat_mean,mae_missing_repeat_std,rmse_missing_repeat_mean,rmse_missing_repeat_std,psnr_missing_repeat_mean,psnr_missing_repeat_std,ssim_missing_repeat_mean,ssim_missing_repeat_std
liver_101,4,liver_101.nii.gz,0.07346230745315552,0.002339995749174431,0.012219724478200078,0.0011954318599052439,0.05521199852228165,0.004783999430324411,25.1891987323761,0.7789340735982726,0.8141266405582428,0.00730837066657041,3.6182723619571436e-12,2.5625525412876694e-12,1.0000000116860974e-06,4.0194366942304644e-14,120.0,0.0,0.8495653942227364,0.016586625542874,0.013190524419769645,0.0013106984081913834,0.0573629392310977,0.005016504888669039,24.857818365097046,0.7865589814842668,0.8113035187125206,0.006866373745016501
liver_101,8,liver_101.nii.gz,0.1377459168434143,0.002585093677270737,0.008214132394641638,0.0013407447172425068,0.04307148978114128,0.006582294077388457,27.403986930847168,1.3172488629192363,0.8431068584322929,0.005995584995921425,2.2288990314880963e-11,7.154701260208501e-12,1.0000002959031917e-06,1.2058310082691391e-13,120.0,0.0,0.8802446126937866,0.00364309902065019,0.009527571848593652,0.0015649044247717987,0.04638741258531809,0.007113934139158377,26.76032280921936,1.3210371024439906,0.8371704742312431,0.00749811366915085
liver_101,16,liver_101.nii.gz,0.25527483224868774,0.005902999973895324,0.004139628290431574,0.0004931954604108407,0.024994676234200597,0.0033472138723742526,32.10353422164917,1.0635860539185336,0.8772157803177834,0.003578226392278645,5.839894323331207e-11,5.10219836058068e-12,1.0000009211807992e-06,7.285847737667333e-14,119.99999237060547,0.0,0.8965471386909485,0.0008556032979487604,0.005556997784879059,0.00064208065261787,0.028958310605958104,0.003822640198495101,30.82337522506714,1.0493519955681463,0.8705972954630852,0.0045369846132371425
liver_101,32,liver_101.nii.gz,0.42326927185058594,0.011699075720962559,0.0022015438589733094,0.0002057851366066367,0.016769438050687313,0.0017689928477139286,35.55301856994629,0.9343134869552924,0.8971680849790573,0.0021236655036096534,1.79748056716722e-10,1.6161534949755366e-11,1.0000028964896046e-06,3.0384085438575354e-13,119.99997520446777,7.897173606975794e-06,0.9093847796320915,0.00047603520522308194,0.0038148601015564054,0.00031982248287826075,0.022076157154515386,0.0022580183198680367,33.16196632385254,0.8999464174525856,0.888230599462986,0.0031502654075459893
liver_101,64,liver_101.nii.gz,0.6595529317855835,0.006953472412146293,0.0007410344333038665,0.00012077651935191881,0.008363061875570565,0.0008508616875041905,41.5901083946228,0.8518653334975699,0.9107346385717392,0.0012734786567704225,4.107120199492442e-10,1.7581167583638918e-11,1.0000074297522588e-06,3.487558334507349e-13,119.99993228912354,2.6973983046972182e-06,0.9162739142775536,0.0008071928926707345,0.0021762327232863754,0.00034619635734226695,0.014331526239402592,0.00142122440896279,36.90980815887451,0.8322190350037962,0.9000076279044151,0.002168793492461422
liver_101,128,liver_101.nii.gz,0.8733745813369751,0.004966249775627789,0.0001486959936300991,3.697102345287096e-05,0.003708807402290404,0.0005010264929289033,48.684306144714355,1.1699248804298383,0.9154644086956978,0.0002775351754865481,6.405873401171824e-10,1.6570603798363045e-11,1.0000106840379885e-06,2.7847474288855413e-13,119.99991130828857,3.948586803487897e-06,0.9173407778143883,0.0003117608329420286,0.0011727251549018547,0.00027636397499558477,0.010423219529911876,0.0013769362526125442,39.70652627944946,1.1512202526531048,0.9025231823325157,0.000330424481695437
liver_103,4,liver_103.nii.gz,0.07133960723876953,0.0030003274099734347,0.011003476567566395,0.0013697777592338728,0.05408420320600271,0.005536623215731925,25.379385709762573,0.905929709797836,0.8285871967673302,0.005626450596813212,5.376990404304654e-12,4.447470231381114e-12,1.0000000543186616e-06,8.593917141507227e-14,120.0,0.0,0.862181231379509,0.0070559781783427495,0.011849138303659856,0.0014802137019183884,0.0561235249042511,0.00575236834095953,25.05793523788452,0.9060583469484088,0.8259934857487679,0.0061943329814566446
liver_103,8,liver_103.nii.gz,0.13888293504714966,0.005195670277754938,0.005962953669950366,0.000717676732180405,0.035217718686908484,0.0038837659974362278,29.109550714492798,0.9357467643215052,0.858958974480629,0.003788966258021094,1.6397355153373316e-11,5.299228774780617e-12,1.0000002390597729e-06,9.48742763735345e-14,120.0,0.0,0.8843399435281754,0.003533922139008569,0.0069276674767024815,0.0008647396053521469,0.037958959117531776,0.004268282244921053,28.460102319717407,0.9515812050127951,0.8548351228237152,0.0048909581207463495
liver_103,16,liver_103.nii.gz,0.25128722190856934,0.007446805123826484,0.0033968254283536226,0.0004567837281084823,0.023570309625938535,0.0034007719973815987,32.626115798950195,1.1864033219620627,0.8825741186738014,0.00354441512006689,6.430999959991524e-11,8.66877995777539e-12,1.0000010206567822e-06,1.35881760949632e-13,119.99999237060547,0.0,0.8990503028035164,0.0010154216142232763,0.0045352025190368295,0.0005952094587635818,0.02723451959900558,0.003886337755003213,31.3690824508667,1.169165749596989,0.8770604580640793,0.004542648159480482
liver_103,32,liver_103.nii.gz,0.4335911273956299,0.007778851613263768,0.0015862804866628721,0.0001845169949560922,0.013860783772543073,0.0016350299831114396,37.214834213256836,0.9911640620384883,0.9001605808734894,0.0018804462170432291,1.499781653035992e-10,8.514456883684876e-12,1.0000024133205443e-06,1.1767705689334563e-13,119.99998474121094,0.0,0.908962644636631,0.0009192441558100743,0.002799304435029626,0.00030932114552349916,0.01841522380709648,0.002145547305517727,34.74578094482422,0.9785861153315804,0.8934337869286537,0.0025347443665474207
